Score	CPUt	H_en	H_EN	H_wg	H_IWG	H_EWG	H_ptc	H_PTC	H_ci	H_CI	H_hh	H_HH	H_PH	kappa_WGen	kappa_CNen	kappa_CNwg	kappa_CIwg	kappa_WGwg	kappa_CNptc	kappa_CIptc	kappa_Bci	kappa_ENci	kappa_ENhh	kappa_CNhh	kappa_PTCCI	kappa_PTCHH	nu_CNen	nu_CNwg	nu_CIwg	nu_WGwg	nu_WGen	nu_CNptc	nu_CIptc	nu_Bci	nu_ENci	nu_ENhh	nu_CNhh	nu_PTCCI	alpha_CIwg	alpha_WGwg	r_ExoWG	r_EndoWG	r_MxferWG	r_LMxferWG	r_LMxferPTC	r_LMxferHH	C_CI	PTC_0	HH_0
0.0279874	765.362	20.1031	36.7378	43.1924	78.6052	95.0945	99.7708	44.8102	54.8856	82.5235	90.7329	23.1641	81.9141	0.00100505	0.00735103	0.00264278	0.686442	0.124576	0.829278	0.0882267	0.00353247	0.00130555	0.00860902	0.00782736	0.00683676	0.00131067	3.93844	1.57433	9.45648	8.09103	6.43894	8.50601	1.52088	4.99337	1.58658	5.26286	6.26673	9.69321	1.01149	5.79428	0.0361813	0.00835283	0.00319993	0.011499	0.835898	0.897005	0.227882	66.2766	3.67083
0.0280392	121.826	28.5048	82.3859	85.7141	65.8626	23.5425	49.8545	47.882	33.4974	68.6203	43.2944	27.2763	68.1794	0.221805	0.0561878	0.00754694	0.732925	0.129332	0.0848721	0.0444281	0.0926735	0.315651	0.00112921	0.0503744	0.0102284	0.00430781	1.92873	5.67571	5.66061	7.81907	4.93824	2.66003	9.01387	1.84964	4.87879	6.32807	8.69149	5.958	1.03902	6.0055	0.0388476	0.166019	0.00826186	0.134442	0.0029024	0.213319	0.00354042	506.799	467.386
0.0280579	537.516	21.6877	34.1477	66.9684	62.656	34.5611	77.1247	70.1997	89.6042	49.9647	12.5649	84.7287	47.729	0.00103943	0.00919727	0.00258589	0.0131775	0.397028	0.189884	0.0214725	0.0936238	0.00125573	0.00237072	0.00185511	0.0123852	0.109059	6.491	6.69434	3.70105	8.69404	3.92739	3.75436	2.51962	8.67651	9.41927	1.39631	8.94869	3.80606	1.69708	5.64613	0.00631618	0.00354817	0.001575	0.0798877	0.0324882	0.29309	0.2001	12.0715	36.545
0.0282296	591.248	13.1946	46.8156	93.2365	38.6912	56.4854	28.4007	6.07651	98.5376	27.1872	87.4709	77.9976	48.8907	0.0841474	0.0695939	0.00170817	0.06665	0.183133	0.845799	0.0579625	0.00711107	0.0438951	0.132244	0.00237275	0.0372519	0.00399042	9.59804	6.81058	5.98096	7.16315	6.88943	1.04925	4.79038	4.30902	7.19922	3.05026	5.80487	4.45342	2.80469	7.12587	0.0559565	0.645417	0.0195372	0.467204	0.77309	0.746467	0.6525	9.44725	7.46004
0.028264	554.858	19.5182	54.6307	59.7467	7.1968	9.3947	80.8973	60.0023	35.5537	34.4764	51.1461	26.0602	15.3631	0.0304087	0.0146407	0.0145816	0.605461	0.0823247	0.348397	0.467224	0.00403927	0.00865242	0.0222337	0.0170175	0.00175684	0.0110259	6.42167	8.50346	3.95792	9.80321	6.27684	3.74755	4.72773	2.88234	2.93284	5.09722	2.80075	2.72058	1.81666	5.3388	0.15358	0.00287608	0.400232	0.0207882	0.0320385	0.728154	0.0111497	62.7534	3.81565
0.0285825	249.301	79.5787	72.4729	46.8909	84.215	35.6768	31.5577	91.2491	41.8932	23.0786	26.2849	24.8127	86.5595	0.00468943	0.0315449	0.0798403	0.165729	0.28155	0.149729	0.00127078	0.0265309	0.00433028	0.251813	0.0107059	0.00403488	0.04604	6.34878	3.04517	9.00946	6.32581	1.95596	1.48793	3.5083	9.54582	1.88359	1.64052	3.32506	1.38425	7.59637	9.36447	0.0160244	0.161869	0.0120155	0.98002	0.0158198	0.397008	0.457399	74.393	332.528
0.0286404	429.148	13.1943	20.2497	36.517	35.8786	17.2717	85.8247	39.8306	96.3106	19.2207	70.3343	69.6791	61.3197	0.0610084	0.0123212	0.00604273	0.121521	0.08145	0.0145826	0.00493772	0.00898212	0.00236031	0.0234457	0.462043	0.0011047	0.00392332	7.90183	7.40024	2.73469	5.58289	3.50865	2.78896	7.67533	6.59028	9.8107	1.74874	3.40206	7.88261	1.08968	5.13928	0.00336946	0.00185098	0.111516	0.0653858	0.014005	0.0624644	0.374222	7.11696	625.578
0.0290855	152.059	79.6839	80.3128	68.1879	33.6278	86.441	36.691	15.1235	54.9937	99.798	41.8578	31.6543	29.6448	0.0189007	0.00113142	0.00154396	0.0307785	0.494007	0.0266719	0.00141548	0.0011541	0.00693903	0.0075952	0.00405988	0.0716907	0.545159	1.12819	8.61324	8.91985	2.17673	7.34574	6.86803	8.03425	5.32601	5.79519	8.71805	9.23326	1.89698	3.19459	6.68277	0.0011336	0.257435	0.00117564	0.046045	0.0116961	0.404465	0.270698	10.7546	99.6653
0.0294128	201.628	6.35107	22.2326	10.0683	7.33812	81.5923	11.5032	24.2279	95.9866	78.6757	68.9819	73.8732	25.0556	0.00103822	0.0489577	0.00193056	0.214236	0.320505	0.953021	0.0878042	0.04905	0.00296276	0.364097	0.0992114	0.0120806	0.597647	9.36496	4.90235	7.90014	5.77515	6.92707	4.20641	2.318	7.73687	6.79324	1.96667	1.82794	5.43792	2.17119	9.48913	0.480307	0.196799	0.0207475	0.0127715	0.251583	0.94812	0.34489	10.3923	5.40196
0.029644	634.021	19.3441	30.312	72.5146	91.6277	44.2851	56.6052	11.782	54.7604	89.7721	33.2302	93.7036	35.6957	0.00415206	0.0238017	0.356687	0.358998	0.0370288	0.562538	0.00185699	0.133726	0.0271236	0.0502416	0.501783	0.00644836	0.112843	7.78923	5.37264	5.81478	4.8823	7.9842	2.85682	1.44566	9.99065	4.98408	4.04839	2.51086	2.9068	1.50831	8.40645	0.236636	0.00121999	0.00430839	0.272526	0.465804	0.0219183	0.863283	57.623	165.068
0.02982	429.108	19.6285	33.7217	67.7319	37.5611	83.4076	8.65758	13.1948	57.8574	71.1111	63.9636	8.62521	90.0382	0.00125456	0.0125928	0.013081	0.394727	0.0999254	0.249169	0.0138071	0.0384281	0.0642411	0.04291	0.0454982	0.00217681	0.0195001	4.13249	5.33434	1.72746	9.17675	8.20445	8.38902	1.79321	3.47881	9.96894	4.11363	6.30075	6.7233	1.03709	4.24698	0.0139206	0.816657	0.0228853	0.0400188	0.150707	0.0984983	0.761881	2.2072	203.631
0.0300964	593.846	85.959	25.9806	26.5281	62.3709	6.25634	85.1588	99.1663	91.1713	48.9645	33.5986	95.4762	90.1442	0.00661379	0.00109281	0.0593227	0.551006	0.003292	0.193734	0.0337797	0.0101375	0.00260256	0.0278462	0.00217394	0.0380564	0.0212979	7.89081	4.84237	6.97603	5.38551	4.66509	3.23011	5.74357	9.33846	9.60504	9.56463	8.78855	9.53492	8.43413	4.45699	0.175654	0.00368915	0.00220006	0.869797	0.00901968	0.00109299	0.0384192	3.05832	11.5342
0.0301426	333.748	34.9672	40.1487	53.491	19.4882	21.709	90.7489	77.0439	31.3839	24.409	68.8112	68.4714	62.4889	0.266681	0.0207059	0.0178047	0.00944219	0.196187	0.0771176	0.147376	0.00104669	0.0204201	0.257879	0.00197506	0.00333226	0.0895126	3.98123	3.49259	7.06129	3.03251	6.73594	2.0255	4.97634	3.01898	9.58548	9.99525	5.91709	5.02068	9.48813	6.84094	0.13712	0.00341405	0.217254	0.203622	0.0455826	0.285549	0.206068	21.514	319.396
0.0306968	525.844	8.47956	72.4106	73.0697	25.2471	24.9395	5.29866	89.1648	53.5239	87.1623	26.6408	25.3735	68.9349	0.0299399	0.00302599	0.00120701	0.713011	0.281107	0.110024	0.00131678	0.0133119	0.00327823	0.0289675	0.0233831	0.00371749	0.00345952	3.5257	9.87328	8.72924	9.87324	3.07936	2.1297	4.64247	3.93106	4.11459	3.05813	1.08618	5.49719	3.56127	3.90813	0.0015593	0.0134954	0.942493	0.37596	0.00280862	0.00301349	0.00447966	7.80253	3.74625
0.0307234	514.493	48.0792	16.7341	61.9499	52.5481	18.747	5.16125	41.0886	98.6471	53.0785	76.442	65.9822	22.4761	0.205861	0.0112419	0.00580678	0.849749	0.0453261	0.0148604	0.571153	0.00109138	0.00386446	0.0491543	0.00403198	0.00198839	0.0629009	9.37103	3.84207	3.1523	5.57208	9.2857	4.08505	5.73093	1.54277	8.9551	5.95497	1.1047	5.66343	1.57872	3.82615	0.26167	0.455147	0.00183794	0.0353699	0.00126588	0.00408582	0.0497951	118.89	25.3344
0.0308398	2.22852	76.8966	13.2892	51.6069	56.8578	7.40574	22.6163	52.1383	9.30353	82.103	91.0888	41.1759	15.0528	0.0262487	0.0100779	0.00201424	0.0682864	0.0287262	0.05303	0.0022347	0.0311256	0.00609273	0.300066	0.00199187	0.0129822	0.00215229	8.53563	7.14903	6.0237	4.11945	7.91759	1.67971	7.61095	3.69127	5.12798	4.72006	8.56559	9.38877	8.88464	3.99878	0.160186	0.0798244	0.00373392	0.0109816	0.117468	0.00423782	0.471851	197.244	10.4642
0.0312296	458.989	12.1973	33.1876	45.6355	61.8747	29.0714	71.9439	96.6268	81.7344	96.4865	85.6314	28.5536	61.6611	0.0492114	0.0234069	0.0377938	0.593921	0.228267	0.00866988	0.364041	0.0481202	0.0151247	0.00124776	0.0115955	0.00446818	0.382267	3.76048	3.67589	1.78037	9.2755	9.63586	1.12093	2.84327	5.96705	7.54545	8.10879	4.83957	2.42024	9.50789	3.62463	0.0118034	0.20978	0.0165851	0.0346593	0.00445919	0.0253773	0.134199	585.932	3.62847
0.0313185	309.923	78.2794	37.587	61.9071	18.0152	80.7682	74.9468	16.014	22.4914	81.1709	33.6918	96.0613	13.0678	0.0165247	0.0089391	0.0479708	0.0375825	0.317669	0.0592761	0.00114891	0.0941145	0.00562011	0.0243725	0.0598259	0.00328895	0.0346098	9.99593	4.32925	6.51192	8.1766	6.45121	5.90018	5.4641	6.99101	8.92002	9.16622	2.35389	1.83042	2.9545	3.60876	0.00681652	0.00744771	0.00271011	0.0169604	0.00909029	0.0439562	0.884108	1.45741	114.319
