Score	CPUt	H_en	H_EN	H_wg	H_IWG	H_EWG	H_ptc	H_PTC	H_ci	H_CI	H_hh	H_HH	H_PH	kappa_WGen	kappa_CNen	kappa_CNwg	kappa_CIwg	kappa_WGwg	kappa_CNptc	kappa_CIptc	kappa_Bci	kappa_ENci	kappa_ENhh	kappa_CNhh	kappa_PTCCI	kappa_PTCHH	nu_CNen	nu_CNwg	nu_CIwg	nu_WGwg	nu_WGen	nu_CNptc	nu_CIptc	nu_Bci	nu_ENci	nu_ENhh	nu_CNhh	nu_PTCCI	alpha_CIwg	alpha_WGwg	r_ExoWG	r_EndoWG	r_MxferWG	r_LMxferWG	r_LMxferPTC	r_LMxferHH	C_CI	PTC_0	HH_0
0.0964867	1608.75	93.1045	79.7764	55.6589	61.3753	62.9492	15.8944	90.7315	20.991	93.9817	98.4969	64.7911	11.3813	0.0102405	0.0675158	0.00159902	0.0929961	0.0363271	0.023795	0.00182871	0.0675025	0.154335	0.0183095	0.00397193	0.00146116	0.985839	8.04992	9.01968	4.28472	3.44136	6.43599	5.98712	2.00472	5.8353	8.70588	7.97391	5.51287	1.25104	6.18638	3.54258	0.0493038	0.00153071	0.00513621	0.272782	0.0223649	0.00125859	0.572843	1.25937	11.862
0.0998261	650.371	40.1449	93.4476	44.4711	36.2639	29.9916	12.9357	70.8765	21.5279	63.902	86.2164	60.5731	54.4657	0.0227431	0.0749385	0.00382963	0.00396954	0.0677822	0.165979	0.00548406	0.226631	0.0806155	0.043103	0.0936592	0.0681083	0.00953225	3.54856	8.02983	5.72202	7.06766	6.99023	1.10348	6.54327	2.16037	1.02688	6.71958	2.97882	3.01112	1.18207	3.13675	0.221408	0.00542381	0.183336	0.0236177	0.0125618	0.0118619	0.182617	105.206	4.71357
0.101035	1024.34	39.6006	73.1024	54.1234	64.3998	33.2817	71.1722	69.4225	29.8966	51.8812	84.2461	74.1264	83.389	0.0143588	0.0699334	0.0155396	0.0591318	0.617521	0.3623	0.044358	0.0157297	0.0754691	0.00187673	0.0124827	0.0234662	0.0108932	7.45264	3.93432	8.22334	8.39591	4.0435	8.30524	6.63678	8.0143	2.44857	1.83342	1.8468	4.72589	2.25134	7.7393	0.00155521	0.00426005	0.00382509	0.00437579	0.0710873	0.00307717	0.141994	34.7391	698.309
0.10161	50.7201	79.375	8.32067	8.02171	23.4557	33.1298	67.9779	6.47656	16.1962	36.9574	16.327	84.4968	45.1537	0.354019	0.00221637	0.0116323	0.035167	0.396311	0.00134853	0.00152252	0.00929886	0.0470414	0.430063	0.033098	0.0323905	0.00233736	6.48709	8.64752	3.77468	9.77629	5.50832	1.084	3.46161	9.82027	7.68073	4.7411	4.89925	4.03708	4.64309	2.48084	0.0257711	0.787575	0.141647	0.00157663	0.791047	0.00882004	0.168433	18.2074	11.8049
0.103067	1095.8	92.9298	68.2726	22.4308	26.9412	6.51102	81.2259	52.7484	20.5406	77.3081	90.7046	63.6539	17.3672	0.176838	0.00564022	0.0215511	0.149188	0.0196544	0.0346434	0.0100453	0.273522	0.147571	0.875548	0.100928	0.017512	0.0541905	7.19412	7.27495	3.57712	4.26556	7.87905	6.76179	4.56385	2.11306	5.305	9.54405	4.2768	7.78816	7.75455	1.29112	0.0783254	0.00183287	0.00971676	0.00164529	0.218069	0.00125132	0.0982371	8.7496	39.1044
0.103893	729.379	66.714	87.0415	95.681	31.2912	51.3301	93.7823	87.349	51.0637	13.3656	65.4383	57.6492	64.416	0.00223653	0.00821854	0.0282194	0.028449	0.717305	0.262148	0.777523	0.0121622	0.0113527	0.12445	0.00856967	0.0114955	0.543493	4.15567	6.28059	3.48205	6.01564	1.29514	9.0949	3.84882	1.77541	6.3225	7.05831	7.35989	8.27974	1.79541	5.31893	0.00130979	0.647573	0.00307674	0.0352217	0.00183049	0.00463042	0.217452	31.9767	1.01773
0.106549	767.869	40.5877	57.587	21.7601	35.8535	79.2876	86.3673	59.1878	19.5614	80.2031	76.9113	34.5418	79.2074	0.0312501	0.00372902	0.040256	0.249078	0.257769	0.884651	0.654646	0.0482739	0.0176033	0.00533053	0.00280617	0.0167234	0.0606975	8.4841	8.45654	4.1437	5.67187	5.73575	5.16436	5.44946	6.5572	4.84431	8.06877	3.01318	5.32228	1.98837	1.07798	0.0208337	0.0200589	0.00686796	0.0712584	0.0449071	0.392708	0.421105	508.352	24.5825
0.108441	137.777	68.7638	88.2684	95.6412	81.7823	66.2025	73.8242	39.8073	6.43859	47.3414	93.1963	88.3954	52.0031	0.103764	0.00231819	0.0146809	0.962927	0.434614	0.890875	0.251755	0.0255905	0.212729	0.00723699	0.0011881	0.0977894	0.00113815	9.68983	3.21941	9.85304	4.52374	2.48934	9.02206	5.28816	4.36656	5.85988	5.22321	7.55064	4.0808	1.03033	2.69787	0.207485	0.619588	0.00493181	0.0015957	0.0243207	0.206854	0.447745	129.823	41.249
0.119055	903.828	74.0829	50.5842	76.1932	20.9269	64.834	32.7407	66.1448	10.7973	53.2721	50.0397	90.7736	97.9405	0.0614451	0.00281933	0.00141237	0.99416	0.111818	0.33177	0.59412	0.00200068	0.0854071	0.773832	0.382521	0.00110647	0.0375808	7.13776	3.26509	1.52681	8.11132	7.7579	6.78999	4.05308	6.15485	4.61153	3.17924	6.38291	4.75738	1.18996	3.11934	0.0234152	0.0435252	0.00489309	0.0718415	0.00244198	0.0241791	0.00748335	4.72454	1.5442
0.123599	398.958	18.6463	69.1061	59.3591	98.5663	40.7377	51.863	10.7455	18.0022	67.5075	61.976	17.9601	26.5365	0.00238555	0.00214522	0.0212509	0.119685	0.559106	0.148154	0.00412656	0.0120319	0.0043004	0.0085221	0.00134018	0.12402	0.00412719	9.32116	2.49867	2.05417	1.38865	6.37016	8.40954	3.83123	7.33906	6.17595	1.08164	2.45061	6.56434	3.13324	2.07474	0.0255163	0.987019	0.00118128	0.00144342	0.00752081	0.00141872	0.0514516	30.629	76.634
