Score	CPUt	H_en	H_EN	H_wg	H_IWG	H_EWG	H_ptc	H_PTC	H_ci	H_CI	H_hh	H_HH	H_PH	kappa_WGen	kappa_CNen	kappa_CNwg	kappa_CIwg	kappa_WGwg	kappa_CNptc	kappa_CIptc	kappa_Bci	kappa_ENci	kappa_ENhh	kappa_CNhh	kappa_PTCCI	kappa_PTCHH	nu_CNen	nu_CNwg	nu_CIwg	nu_WGwg	nu_WGen	nu_CNptc	nu_CIptc	nu_Bci	nu_ENci	nu_ENhh	nu_CNhh	nu_PTCCI	alpha_CIwg	alpha_WGwg	r_ExoWG	r_EndoWG	r_MxferWG	r_LMxferWG	r_LMxferPTC	r_LMxferHH	C_CI	PTC_0	HH_0
0.0261297	860.506	37.7049	84.9808	87.5841	60.8644	22.9829	56.5719	25.6893	55.1701	63.3541	14.8528	98.4919	98.4772	0.00150457	0.0285897	0.00198477	0.0341814	0.0913974	0.275486	0.0151604	0.00520853	0.0968819	0.00126604	0.00521438	0.00116226	0.017639	4.47367	8.96028	9.86618	6.39057	6.56002	3.29953	6.64167	2.23187	8.81838	2.58595	2.18208	9.26007	2.91073	8.78895	0.0583069	0.00194084	0.0681245	0.036214	0.0517279	0.442388	0.00651412	401.466	14.3004
0.0261304	1472.67	45.6407	52.1053	7.71396	16.172	32.5565	63.8957	67.4481	70.7892	26.2577	58.7915	9.29999	43.7745	0.0869354	0.00452147	0.00199607	0.021272	0.101693	0.0155951	0.0429993	0.0463075	0.147297	0.00530739	0.0671149	0.238294	0.351743	2.7792	3.71549	8.84614	8.47001	6.71833	5.53905	1.13484	4.33277	7.65996	1.10394	9.26902	6.93876	9.89241	9.11712	0.0282737	0.407367	0.00222185	0.356553	0.444832	0.0201561	0.046218	867.351	2.19517
0.026206	1084.82	83.4964	24.5385	12.7847	60.8106	77.7194	70.8722	79.5778	24.4602	24.6044	50.1252	13.5099	70.4689	0.00100267	0.00299613	0.00597671	0.0119405	0.298325	0.0177779	0.0017601	0.246151	0.168358	0.210053	0.168	0.0017496	0.314019	7.33642	3.47366	2.27813	7.31037	5.08145	6.50957	5.4251	4.23755	4.08089	8.67598	1.58283	4.56969	5.48298	9.85629	0.0269291	0.00377625	0.00441237	0.085868	0.202467	0.011031	0.0617618	4.31175	1.87184
0.0262209	149.104	17.5144	90.5903	42.6169	29.603	66.4567	34.3161	46.5228	63.8948	47.15	89.2706	41.3791	17.5499	0.0968255	0.0190375	0.00297371	0.0275744	0.0258823	0.130769	0.0657027	0.0526531	0.0101048	0.00646603	0.913616	0.00173626	0.289991	6.46061	7.12518	8.69597	4.19045	6.10371	4.34837	6.38352	1.85538	2.38886	4.56903	6.34613	5.98371	2.85367	9.61099	0.840903	0.00641838	0.0133156	0.0132721	0.036383	0.367254	0.00501187	6.51979	361.383
0.0262318	1031.25	71.27	60.3961	24.4921	39.0481	67.3852	17.4098	78.8976	85.2296	24.3111	70.5827	52.681	63.2878	0.0112306	0.0288473	0.0967605	0.247976	0.395484	0.876106	0.0209664	0.296376	0.404386	0.102347	0.00361387	0.0245782	0.0182358	5.39698	3.92958	3.53606	7.11864	8.19451	8.71454	6.74991	1.72571	7.86291	4.08872	8.15423	1.23598	1.26983	8.85077	0.00771218	0.107831	0.0197745	0.0112191	0.0857317	0.00136915	0.10423	359.552	147.7
0.0262432	406.806	56.4017	74.6176	59.7481	34.7231	25.5637	16.7379	32.8378	57.4708	46.1627	65.0232	10.2339	81.7338	0.0171747	0.00695011	0.00252351	0.269565	0.30377	0.015199	0.00226053	0.0342264	0.00651014	0.0823475	0.315428	0.102096	0.00844765	7.02781	8.52204	5.4064	9.62528	6.26407	9.63733	5.78419	3.53893	7.2961	3.07861	9.04094	9.38115	7.65798	9.14521	0.0457904	0.0160273	0.0303392	0.00396774	0.0987284	0.141054	0.00577149	23.1178	11.1606
0.0262479	359.958	28.2354	33.3424	47.9296	77.4058	27.5811	22.7502	10.7706	88.0519	29.0395	42.8351	20.7233	65.6233	0.0287415	0.0293485	0.00185437	0.0290148	0.165563	0.438544	0.00207001	0.0188994	0.00483778	0.0189488	0.0673702	0.0710518	0.00210273	8.89209	2.24134	6.38746	8.92561	5.5462	7.45629	4.93737	7.9813	2.0788	8.5469	5.13636	7.57152	1.59267	8.43493	0.0272083	0.14391	0.0116322	0.00317616	0.141507	0.219334	0.129709	7.81797	112.401
0.0262679	52.176	89.9403	7.78442	6.7673	95.0982	42.2928	23.1782	14.0504	48.6181	73.3121	74.2497	93.9274	67.7818	0.0630964	0.00232848	0.00689834	0.00117755	0.074778	0.0273807	0.00139104	0.028309	0.0570428	0.373268	0.0131684	0.0972268	0.00264321	7.82376	6.47133	5.18998	7.47479	3.62064	3.27198	9.3503	2.20854	7.30808	9.68337	3.62882	4.25659	3.32264	8.93691	0.0258925	0.00228418	0.954121	0.0278466	0.0358019	0.00702622	0.00794582	184.949	11.231
0.0262723	197.768	35.2411	28.3089	58.4488	35.2924	72.5354	9.72631	45.5278	10.1195	67.2821	36.4038	23.6771	95.0485	0.0176538	0.00602842	0.00213531	0.258056	0.124802	0.0240802	0.195264	0.0179871	0.0117189	0.00246591	0.00743006	0.0104016	0.189436	4.00778	1.32364	8.07698	4.68805	4.7597	5.46967	6.84902	7.12472	5.69426	3.11979	4.64629	5.87312	2.481	8.71102	0.0817701	0.00140313	0.0111559	0.0504137	0.00441589	0.00360969	0.00360248	919.401	132.518
0.0262793	884.941	9.886	10.1017	47.3211	88.3624	55.1386	89.3599	17.9866	64.6789	98.308	83.7243	88.3159	13.7965	0.0435003	0.0173528	0.00562361	0.204881	0.0402834	0.308651	0.0420597	0.750788	0.00319697	0.0012268	0.00657313	0.159963	0.00180131	4.21066	1.26203	6.2051	9.89161	6.63521	8.64774	8.46394	9.05322	7.72492	7.64984	9.25924	4.56026	2.67078	8.59745	0.00142508	0.00302032	0.00140883	0.221671	0.0462768	0.00797653	0.00102788	7.41146	76.3926
