"Score"	"CPUt"	"H_en"	"H_EN"	"H_wg"	"H_IWG"	"H_EWG"	"H_ptc"	"H_PTC"	"H_ci"	"H_CI"	"H_hh"	"H_HH"	"H_PH"	"kappa_WGen"	"kappa_CNen"	"kappa_CNwg"	"kappa_CIwg"	"kappa_WGwg"	"kappa_CNptc"	"kappa_CIptc"	"kappa_Bci"	"kappa_ENci"	"kappa_ENhh"	"kappa_CNhh"	"kappa_PTCCI"	"kappa_PTCHH"	"nu_CNen"	"nu_CNwg"	"nu_CIwg"	"nu_WGwg"	"nu_WGen"	"nu_CNptc"	"nu_CIptc"	"nu_Bci"	"nu_ENci"	"nu_ENhh"	"nu_CNhh"	"nu_PTCCI"	"alpha_CIwg"	"alpha_WGwg"	"r_ExoWG"	"r_EndoWG"	"r_MxferWG"	"r_LMxferWG"	"r_LMxferPTC"	"r_LMxferHH"	"C_CI"	"PTC_0"	"HH_0"
0.0501566	100.592	39.2512	48.0538	16.0494	45.1364	64.8445	12.4333	69.6957	45.7466	93.9748	25.608	69.6549	14.8607	0.0143517	0.001705	0.00368307	0.0258935	0.238398	0.257853	0.0196806	0.00368517	0.00640593	0.244846	0.00175237	0.0734561	0.017463	5.22383	8.27251	4.72965	3.0316	3.71503	2.82232	1.56886	7.49904	6.93637	9.4984	4.58396	6.36235	1.07195	1.6128	0.00748721	0.00478076	0.00184647	0.0190672	0.154434	0.29833	0.0238676	1.93314	36.1805
0.0502278	69.467	62.844	88.1656	8.55341	92.4114	60.075	29.0092	82.9354	33.1585	66.0377	57.1379	73.78	94.7275	0.376783	0.00390945	0.00135123	0.275871	0.170953	0.0757852	0.768111	0.0629671	0.0330333	0.00542601	0.0152203	0.00498364	0.0999835	2.2826	1.82647	1.86783	9.40499	8.09173	6.95123	1.35154	4.86643	6.71882	9.74859	9.68432	3.79973	2.11262	1.89379	0.0111261	0.0023914	0.00159181	0.0157017	0.168927	0.141997	0.0211541	7.5476	23.1314
0.0502352	323.241	75.0609	81.4834	83.2469	10.8618	95.5259	23.3164	43.8457	13.9829	86.8881	91.988	15.8737	36.1641	0.00544529	0.00120873	0.00681943	0.00132101	0.0925899	0.200388	0.0014251	0.168598	0.118165	0.438897	0.00424375	0.00231174	0.0264927	1.759	3.18494	5.48201	4.37603	4.79253	9.75834	9.10664	6.94136	7.62032	4.50298	5.89983	6.05416	2.9849	1.60796	0.295516	0.00106292	0.991338	0.0314974	0.00399723	0.0218663	0.360358	27.1185	3.32319
0.0504141	19.2282	78.4591	74.7414	49.6802	75.3948	29.3285	80.8941	46.7824	23.0934	96.1015	89.5069	32.0154	33.2481	0.133671	0.00339368	0.0196021	0.356339	0.0567079	0.990772	0.323645	0.00580842	0.185157	0.0949217	0.00507941	0.0434268	0.00403562	6.3128	2.45387	4.47565	5.32668	9.68783	7.29032	6.12648	8.51108	9.99694	4.46389	2.93588	3.8578	4.04678	4.9643	0.00152701	0.00696232	0.00103112	0.0418413	0.00113318	0.666925	0.0122576	367.434	24.3051
0.0504726	203.957	67.351	53.224	31.6113	74.9639	94.9953	31.6437	44.3067	54.6861	79.7397	49.1393	97.7028	56.4263	0.421085	0.0143987	0.00344156	0.166063	0.418173	0.0109372	0.286139	0.0979982	0.199825	0.125949	0.00100129	0.0108881	0.00936842	7.01694	6.28385	2.43251	8.07736	7.22371	7.75935	9.36415	1.21953	7.39755	6.50892	4.22237	3.26034	3.39212	1.72863	0.0157697	0.154434	0.00198926	0.00771369	0.00147107	0.244096	0.428132	70.1578	26.5641
0.050486	18.6145	67.3882	39.7191	24.7031	50.5105	69.9182	69.7987	34.6799	9.5273	22.9235	94.4716	96.7091	82.2517	0.0588157	0.00472094	0.00603171	0.0419663	0.145182	0.0374173	0.0961988	0.298631	0.08939	0.20738	0.0569485	0.0128101	0.0181007	6.51738	6.32143	2.91118	4.2241	8.4213	4.39294	7.22385	5.44807	7.17406	9.62628	8.02437	4.12343	1.93708	1.8762	0.443116	0.255236	0.00346499	0.012101	0.52195	0.001012	0.0253142	917.321	3.67309
0.050634	143.778	96.4581	51.2656	93.1496	7.91381	25.4047	96.8277	69.4038	88.0286	18.4586	42.3788	87.2458	57.6543	0.0398253	0.0108369	0.00507614	0.693554	0.155504	0.0282884	0.0260882	0.832876	0.286854	0.214653	0.190295	0.0949128	0.00395215	8.96235	9.75149	3.59469	9.2353	2.6904	2.18207	4.14556	4.34623	8.26436	5.63976	9.93054	1.50094	5.08216	5.81371	0.23911	0.0183344	0.404747	0.00470511	0.450277	0.189725	0.883343	4.99967	4.55312
0.0507064	21.9353	76.7674	55.7765	41.6278	18.7031	26.3772	76.532	59.5701	67.9542	92.4861	26.2169	73.9901	83.641	0.0245445	0.00209739	0.00757066	0.930749	0.182105	0.72586	0.061831	0.0148448	0.449726	0.0180517	0.00100575	0.0309702	0.0116503	7.01299	7.09503	2.40507	3.80346	1.68567	7.90183	2.11658	1.1844	9.81827	7.29068	3.98974	1.98499	2.71748	7.46171	0.0206529	0.00918286	0.00637868	0.00238993	0.639924	0.00475387	0.00291731	1.14961	1.52609
0.0508369	56.5192	92.0737	28.3838	69.7956	48.0811	83.7845	62.9353	22.6089	19.2286	76.0186	88.263	46.7587	83.4553	0.216041	0.00590894	0.288421	0.0898613	0.185384	0.175217	0.00581424	0.615657	0.0308474	0.00240317	0.00820218	0.0188612	0.00224646	8.52973	1.52095	5.57603	8.44548	7.20974	2.83918	7.76605	8.17465	8.93717	8.18057	4.02072	2.63114	1.73784	1.49767	0.0118415	0.00700145	0.930323	0.00991768	0.0219779	0.00930969	0.26996	121.023	6.64534
0.0510006	66.7296	15.3581	58.2125	19.2912	65.8729	89.0548	15.791	91.6841	55.0717	86.7492	81.2437	15.6348	19.2263	0.0958237	0.0665357	0.00544843	0.0482539	0.0256063	0.121676	0.217945	0.0365692	0.313167	0.00591365	0.0130852	0.0186138	0.00129946	7.28543	9.52107	9.49759	9.19437	9.91705	7.07076	4.05664	8.89482	3.8075	3.42715	3.93373	1.11105	1.8762	3.09525	0.0489342	0.00219655	0.00510306	0.550437	0.00353387	0.033454	0.0810002	695.746	21.6225
