Score	CPUt	H_en	H_EN	H_wg	H_IWG	H_EWG	H_ptc	H_PTC	H_ci	H_CI	H_hh	H_HH	H_PH	kappa_WGen	kappa_CNen	kappa_CNwg	kappa_CIwg	kappa_WGwg	kappa_CNptc	kappa_CIptc	kappa_Bci	kappa_ENci	kappa_ENhh	kappa_CNhh	kappa_PTCCI	kappa_PTCHH	nu_CNen	nu_CNwg	nu_CIwg	nu_WGwg	nu_WGen	nu_CNptc	nu_CIptc	nu_Bci	nu_ENci	nu_ENhh	nu_CNhh	nu_PTCCI	alpha_CIwg	alpha_WGwg	r_ExoWG	r_EndoWG	r_MxferWG	r_LMxferWG	r_LMxferPTC	r_LMxferHH	C_CI	PTC_0	HH_0
0.0612698	256.082	25.8754	76.618	36.9103	63.1036	19.1214	30.2457	68.7638	86.6673	38.3421	74.9296	33.2034	42.2203	0.021594	0.00289762	0.00128411	0.475343	0.0317714	0.181227	0.00111343	0.011536	0.132034	0.564663	0.0141851	0.14854	0.360989	1.89158	9.32817	4.30311	7.12007	8.67971	7.35046	2.62783	4.93378	4.67385	2.74987	9.55422	7.32403	1.31292	1.27649	0.00371035	0.147999	0.141734	0.00242723	0.0153364	0.337529	0.00101731	144.573	20.4454
0.0613696	268.296	33.1904	75.0973	80.6286	43.509	31.1796	77.715	67.2286	95.1051	15.8555	81.0451	73.4662	48.36	0.0316596	0.229071	0.00114139	0.00544993	0.00467067	0.101657	0.00295196	0.0697311	0.353875	0.483455	0.446375	0.0014125	0.00463312	6.24497	4.80518	7.20217	6.22218	8.49443	3.88033	1.70515	9.6815	9.80938	5.48039	8.52117	9.39879	8.41357	1.16196	0.112369	0.00750371	0.0118217	0.1414	0.0125822	0.00418955	0.146011	23.9031	21.5011
0.0617162	1538.17	24.8136	61.8494	37.6816	10.2095	77.408	69.154	67.552	63.1076	81.5506	49.9067	49.3512	27.7019	0.00109793	0.00361312	0.264317	0.0599004	0.0227626	0.729123	0.427651	0.265554	0.00589627	0.782085	0.00104469	0.0490032	0.0677573	5.05681	6.23488	6.1059	6.39957	9.15282	9.7749	1.14147	7.91453	9.66487	4.44443	6.86489	3.81699	5.77315	1.42215	0.00424161	0.430706	0.567112	0.345405	0.00166364	0.0440099	0.705049	6.04073	75.1663
0.0618223	1013.92	29.7678	46.6283	70.4453	74.5749	77.0116	69.4684	8.58609	88.1529	37.1165	94.5126	14.2731	24.6323	0.00145419	0.189714	0.0722224	0.0226868	0.0324242	0.941837	0.771202	0.00317995	0.0112026	0.00162209	0.00899238	0.0174505	0.546109	7.93198	2.23265	7.56202	8.10255	3.33857	5.88735	1.88043	6.6213	1.88748	8.65443	6.04154	1.90632	5.18761	1.15367	0.0196023	0.00160977	0.512416	0.180861	0.0660712	0.282368	0.95155	50.9546	1.872
0.0643082	1861.5	6.34694	53.8535	46.7201	10.2119	71.8805	51.8054	80.8741	27.4847	54.1588	30.6015	86.8258	46.8952	0.00351548	0.00203484	0.00722693	0.0710837	0.00222955	0.108573	0.978399	0.202973	0.00193362	0.0268706	0.00560953	0.00978915	0.0486296	7.50743	3.85733	2.89434	5.52623	7.6192	6.60061	2.6604	9.18196	5.54609	4.32406	9.48849	2.25632	1.07441	1.09801	0.00975554	0.476782	0.00460474	0.0301786	0.00842654	0.0204175	0.423714	496.732	36.891
0.0651325	1323.91	95.9989	54.7456	69.8218	82.2427	55.2668	31.7253	54.2079	59.9281	41.3374	43.1683	40.0257	43.234	0.137648	0.0032347	0.00344371	0.175095	0.130956	0.698683	0.0326104	0.213804	0.00336552	0.927382	0.0175577	0.00964515	0.413995	8.68089	1.06633	7.85635	3.92856	4.90903	9.89401	3.31341	7.14998	1.17419	7.74445	7.81012	9.51891	6.63334	1.87366	0.00178055	0.0981538	0.0361968	0.402608	0.00492453	0.0347768	0.0017698	61.8876	908.752
0.0663684	203.727	8.69216	52.0153	76.0057	48.539	8.49932	41.0355	35.3539	48.9194	13.6769	52.097	57.8698	93.2314	0.126513	0.00172146	0.00891042	0.00323772	0.0281742	0.0295759	0.00138175	0.153971	0.00422464	0.241593	0.0137107	0.161601	0.0232974	1.79236	2.51028	7.68589	6.84013	8.18448	3.39905	2.4928	9.78141	6.84403	5.50912	9.03768	7.95857	7.11916	1.08959	0.66138	0.556668	0.511613	0.00176965	0.0271619	0.00183838	0.446924	724.342	755.247
0.0675567	162.936	82.8325	38.0014	38.9465	38.3144	41.2193	93.3727	58.7111	89.3855	6.87618	49.6468	73.608	26.5131	0.00280972	0.00106547	0.049636	0.246432	0.00536489	0.491457	0.0563247	0.438956	0.0012368	0.232447	0.544835	0.00443536	0.0448013	8.24738	9.57931	5.90338	7.24527	8.41179	8.07679	3.176	6.58713	9.97743	7.97497	1.27325	6.19828	1.39279	4.34668	0.00669439	0.30501	0.00266772	0.0120023	0.00181175	0.00134362	0.45568	5.48445	1.61104
0.0675603	1047.23	35.95	85.9448	46.8972	13.9707	77.2824	90.8346	78.3316	53.0962	68.9164	56.1512	31.5152	80.3224	0.0438459	0.00584118	0.0166969	0.114168	0.0909755	0.206803	0.0475555	0.00403884	0.00205025	0.0159069	0.250873	0.031539	0.0495838	9.56066	1.16842	3.2532	8.61021	8.28169	2.57813	6.401	9.33027	8.75346	3.31129	9.00806	6.73685	1.91639	6.44914	0.00274511	0.00213131	0.0570622	0.198915	0.0234582	0.0375957	0.971611	28.9953	11.2382
0.0675995	1574.48	38.6397	84.3065	34.871	7.56022	99.999	50.3808	79.3744	70.62	52.6739	24.2852	45.1483	36.0729	0.0122523	0.00122067	0.00103534	0.00741199	0.521597	0.00311302	0.0621301	0.0387592	0.00488146	0.944289	0.958008	0.118548	0.597055	7.11954	8.1161	6.97198	5.50848	2.60979	3.33592	3.21932	6.03576	4.35943	2.56841	2.17048	5.33434	3.09558	9.88851	0.0110131	0.00285903	0.0619893	0.00107994	0.0093428	0.00468163	0.0104904	41.0847	10.634
